(0.001, 1.2, 1.1, 'yes')
(0.001, 1.2, 2, 'yes')
(0.001, 1.2, 5, 'yes')
(0.001, 1.2, 10, 'yes')
(0.001, 2, 1.1, 'yes')
(0.001, 2, 2, 'yes')
(0.001, 2, 5, 'yes')
(0.001, 2, 10, 'yes')
(0.001, 3, 1.1, 'yes')
(0.001, 3, 2, 'yes')
(0.001, 3, 5, 'yes')
(0.001, 3, 10, 'yes')
(0.001, 4, 1.1, 'yes')
(0.001, 4, 2, 'yes')
(0.001, 4, 5, 'yes')
(0.001, 4, 10, 'yes')
(0.001, 'None', 'None', 'abs')
(0.001, 'None', 'None', 'no')
(0.01, 1.2, 1.1, 'yes')
(0.01, 1.2, 2, 'yes')
(0.01, 1.2, 5, 'yes')
(0.01, 1.2, 10, 'yes')
(0.01, 2, 1.1, 'yes')
(0.01, 2, 2, 'yes')
(0.01, 2, 5, 'yes')
(0.01, 2, 10, 'yes')
(0.01, 3, 1.1, 'yes')
(0.01, 3, 2, 'yes')
(0.01, 3, 5, 'yes')
(0.01, 3, 10, 'yes')
(0.01, 4, 1.1, 'yes')
(0.01, 4, 2, 'yes')
(0.01, 4, 5, 'yes')
(0.01, 4, 10, 'yes')
(0.01, 'None', 'None', 'abs')
(0.01, 'None', 'None', 'no')
(0.1, 1.2, 1.1, 'yes')
(0.1, 1.2, 2, 'yes')
(0.1, 1.2, 5, 'yes')
(0.1, 1.2, 10, 'yes')
(0.1, 2, 1.1, 'yes')
(0.1, 2, 2, 'yes')
(0.1, 2, 5, 'yes')
(0.1, 2, 10, 'yes')
(0.1, 3, 1.1, 'yes')
(0.1, 3, 2, 'yes')
(0.1, 3, 5, 'yes')
(0.1, 3, 10, 'yes')
(0.1, 4, 1.1, 'yes')
(0.1, 4, 2, 'yes')
(0.1, 4, 5, 'yes')
(0.1, 4, 10, 'yes')
(0.1, 'None', 'None', 'abs')
(0.1, 'None', 'None', 'no')
(3, 1.2, 1.1, 'yes')
(3, 1.2, 2, 'yes')
(3, 1.2, 5, 'yes')
(3, 1.2, 10, 'yes')
(3, 2, 1.1, 'yes')
(3, 2, 2, 'yes')
(3, 2, 5, 'yes')
(3, 2, 10, 'yes')
(3, 3, 1.1, 'yes')
(3, 3, 2, 'yes')
(3, 3, 5, 'yes')
(3, 3, 10, 'yes')
(3, 4, 1.1, 'yes')
(3, 4, 2, 'yes')
(3, 4, 5, 'yes')
(3, 4, 10, 'yes')
(3, 'None', 'None', 'abs')
(3, 'None', 'None', 'no')
(10, 1.2, 1.1, 'yes')
(10, 1.2, 2, 'yes')
(10, 1.2, 5, 'yes')
(10, 1.2, 10, 'yes')
(10, 2, 1.1, 'yes')
(10, 2, 2, 'yes')
(10, 2, 5, 'yes')
(10, 2, 10, 'yes')
(10, 3, 1.1, 'yes')
(10, 3, 2, 'yes')
(10, 3, 5, 'yes')
(10, 3, 10, 'yes')
(10, 4, 1.1, 'yes')
(10, 4, 2, 'yes')
(10, 4, 5, 'yes')
(10, 4, 10, 'yes')
(10, 'None', 'None', 'abs')
(10, 'None', 'None', 'no')
